29,355,404,363,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES
91,383,423,366,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL
70,377,402,370,01M450,EAST SIDE COMMUNITY SCHOOL
7,414,401,359,01M458,FORSYTH SATELLITE ACADEMY
44,390,433,384,01M509,MARTA VALLE HIGH SCHOOL
112,332,557,316,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL
159,522,574,525,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL"
18,417,418,411,01M650,CASCADES HIGH SCHOOL
130,624,604,628,01M696,BARD HIGH SCHOOL EARLY COLLEGE
16,395,400,387,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL
62,409,393,392,02M288,FOOD AND FINANCE HIGH SCHOOL
53,394,384,378,02M294,ESSEX STREET ACADEMY
58,374,375,362,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT
85,423,438,432,02M298,PACE HIGH SCHOOL
48,404,449,416,02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE"
76,353,358,340,02M303,"FACING HISTORY SCHOOL, THE"
50,375,388,385,02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE"
40,403,392,405,02M308,LOWER MANHATTAN ARTS ACADEMY
69,408,390,390,02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING"
42,373,370,384,02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE"
60,391,391,394,02M374,GRAMERCY ARTS HIGH SCHOOL
92,473,483,479,02M376,NYC ISCHOOL
79,319,512,357,02M394,EMMA LAZARUS HIGH SCHOOL
263,465,493,461,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES
54,492,465,467,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION
94,509,490,523,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL
104,496,563,518,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL
114,537,590,550,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES
66,517,533,515,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL
103,468,492,459,02M414,N.Y.C. MUSEUM SCHOOL
127,572,594,592,02M416,ELEANOR ROOSEVELT HIGH SCHOOL
144,528,553,533,02M418,MILLENNIUM HIGH SCHOOL
62,390,399,381,02M419,LANDMARK HIGH SCHOOL
336,429,449,428,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES
84,416,426,391,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL
29,356,357,349,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES
95,441,473,458,02M439,MANHATTAN VILLAGE ACADEMY
59,378,365,368,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX
72,395,416,388,02M449,VANGUARD HIGH SCHOOL
49,376,460,391,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL
151,373,387,360,02M460,WASHINGTON IRVING HIGH SCHOOL
832,679,735,682,02M475,STUYVESANT HIGH SCHOOL
167,443,489,442,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE
25,370,349,351,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES
81,469,472,475,02M519,TALENT UNLIMITED HIGH SCHOOL
264,407,440,393,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS
131,414,425,400,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL
42,429,404,420,02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS
66,336,378,344,02M542,MANHATTAN BRIDGES HIGH SCHOOL
73,391,395,382,02M543,NEW DESIGN HIGH SCHOOL
14,389,371,335,02M544,INDEPENDENCE HIGH SCHOOL
78,412,581,431,02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES
26,368,436,352,02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS
77,405,423,384,02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL
56,498,440,477,02M560,HIGH SCHOOL M560 s CITY AS SCHOOL
30,527,508,512,02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL
33,350,337,345,02M570,SATELLITE ACADEMY HIGH SCHOOL
121,345,517,343,02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL
84,408,384,403,02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING
9,458,416,429,02M586,HARVEY MILK HIGH SCHOOL
335,423,423,411,02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES
36,426,403,426,02M605,HUMANITIES PREPARATORY ACADEMY
83,399,418,390,02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
154,370,379,359,02M620,NORMAN THOMAS HIGH SCHOOL
191,395,382,376,02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS
270,444,441,430,02M630,ART AND DESIGN HIGH SCHOOL
61,409,424,403,02M655,LIFE SCIENCES SECONDARY SCHOOL
27,406,379,408,03M283,MANHATTAN THEATRE LAB HIGH SCHOOL
49,374,384,374,03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY"
41,384,390,370,03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE"
12,416,403,381,03M404,INNOVATION DIPLOMA PLUS
32,371,368,370,03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS
131,370,390,358,03M470,LOUIS D. BRANDEIS HIGH SCHOOL
261,577,575,592,03M479,BEACON HIGH SCHOOL
531,566,564,577,03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS
66,396,398,402,03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE"
75,433,433,411,03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY
35,401,369,351,03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL
111,473,506,467,03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL
43,356,379,361,03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL
48,354,357,373,04M409,COALITION SCHOOL FOR SOCIAL CHANGE
375,461,514,455,04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS
51,373,379,376,04M495,PARK EAST HIGH SCHOOL
73,405,421,395,04M555,CENTRAL PARK EAST HIGH SCHOOL
70,432,446,448,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL
48,369,369,357,04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL
31,358,351,345,04M680,"HERITAGE SCHOOL, THE"
29,357,318,333,05M285,HARLEM RENAISSANCE HIGH SCHOOL
54,413,399,398,05M304,MOTT HALL HIGH SCHOOL
33,354,366,342,05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL
56,360,353,364,05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS
20,354,360,385,05M469,CHOIR ACADEMY OF HARLEM
214,458,474,442,05M499,FREDERICK DOUGLASS ACADEMY
66,396,402,404,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE
61,369,361,355,05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL
101,605,654,588,05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE"
60,408,446,416,06M293,CITY COLLEGE ACADEMY OF THE ARTS
55,362,376,367,06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS
70,380,395,399,06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL
7,394,357,346,06M457,GEORGE WASHINGTON YABC
76,365,384,378,06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE
63,369,380,349,06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS
94,363,378,361,06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE
24,400,422,402,06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES
228,430,456,423,06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL
56,339,349,326,06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS
65,364,378,348,07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL
9,379,364,382,07X321,CROTONA ACADEMY HIGH SCHOOL
34,310,324,311,07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL
43,361,359,357,07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE
63,351,375,371,07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL
79,403,394,404,07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL
66,420,426,411,07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE
64,399,396,391,07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES
62,362,378,363,07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL
28,367,356,361,07X547,NEW EXPLORERS HIGH SCHOOL
44,387,411,383,07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS
51,413,381,407,07X551,BRONX ACADEMY OF LETTERS
76,394,400,364,07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
47,398,416,370,07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
114,363,368,364,07X670,HEALTH OPPORTUNITIES HIGH SCHOOL
44,407,386,378,08X282,WOMEN'S ACADEMY OF EXCELLENCE
52,384,385,389,08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY
41,416,390,394,08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY
67,337,361,340,08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES
67,387,402,375,08X312,MILLENNIUM ART ACADEMY
39,363,371,350,08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH
9,367,369,376,08X377,BRONX COMMUNITY HIGH SCHOOL
415,412,436,393,08X405,HERBERT H. LEHMAN HIGH SCHOOL
6,402,373,413,08X408,HERBERT H. LEHMAN YABC
39,369,371,365,08X452,BRONX GUILD
68,373,370,356,08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE"
54,373,381,377,08X530,BANANA KELLY HIGH SCHOOL
16,366,400,368,08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING
9,404,368,399,08X560,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL
78,377,359,376,08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS
39,324,376,349,09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL
78,373,387,374,09X231,EAGLE ACADEMY FOR YOUNG MEN
33,372,355,357,09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE"
80,411,464,415,09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE"
50,393,394,382,09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL
67,369,367,356,09X252,MOTT HALL BRONX HIGH SCHOOL
81,459,480,457,09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS
74,356,363,356,09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL
30,361,353,367,09X276,LEADERSHIP INSTITUTE
38,386,386,376,09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES
51,382,365,391,09X329,DREAMYARD PREPARATORY SCHOOL
54,315,339,297,09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY
